#  aims_uuid : F6E78B0D-804B-4AD0-A977-1568297477EF                                
#  angular momentum projected density of states for species Cu as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.705409 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -44.29459094        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.28458994        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.27458894        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.26458794        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.25458694        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.24458594        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.23458494        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.22458394        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.21458294        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.20458194        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.19458094        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.18457994        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.17457894        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.16457794        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.15457694        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.14457594        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.13457494        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.12457394        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.11457294        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.10457194        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.09457094        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.08456994        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.07456894        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.06456794        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.05456694        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.04456594        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.03456494        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.02456394        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.01456294        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -44.00456194        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.99456094        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.98455994        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.97455894        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.96455794        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.95455694        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.94455594        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.93455494        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.92455394        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.91455294        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.90455194        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.89455094        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.88454994        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.87454894        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.86454794        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.85454694        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.84454594        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
