#  aims_uuid : 9E77B350-B48A-4CBA-A44E-A8089FE5A8A9                                
#  angular momentum projected density of states for species Cu as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.705409 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -34.29459094        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.28458969        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.27458844        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.26458719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.25458594        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.24458469        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.23458344        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.22458219        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.21458094        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.20457969        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.19457844        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.18457719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.17457594        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.16457469        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.15457344        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.14457219        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.13457094        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.12456969        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.11456844        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.10456719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.09456594        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.08456469        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.07456344        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.06456219        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.05456094        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.04455969        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.03455844        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.02455719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.01455594        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -34.00455469        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.99455344        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.98455219        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.97455094        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.96454969        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.95454844        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.94454719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.93454594        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.92454469        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.91454344        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.90454219        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.89454094        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.88453969        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.87453843        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.86453718        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.85453593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.84453468        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.83453343        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.82453218        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.81453093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.80452968        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.79452843        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.78452718        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.77452593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.76452468        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.75452343        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.74452218        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.73452093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.72451968        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.71451843        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.70451718        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.69451593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.68451468        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.67451343        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.66451218        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.65451093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.64450968        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.63450843        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.62450718        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.61450593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.60450468        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.59450343        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.58450218        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.57450093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.56449968        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.55449843        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.54449718        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.53449593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
